VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD3.x, TEXCOORD3.y
0, 41341, -3.03233,  10.56839, -36.25559,  0.0056,  0.67871, -0.73438,  0.00,  1.00, -0.00377,  0.00414, -1.00,  1.00,  1.00,  1.00,  1.00,  0.70654,  0.00384,  0.518,  0.66891,  0.518,  0.66891,  0.518,  0.66891
1, 41342, -4.56145,  10.56839, -36.25559, -1.19209E-07,  0.69434, -0.71973,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.1106,  0.00384,  0.51051,  0.66891,  0.51051,  0.66891,  0.51051,  0.66891
2, 41343, -4.55286,  10.84728, -35.98653, -1.19209E-07,  0.7876, -0.6167,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.10968,  0.15735,  0.5105,  0.67053,  0.5105,  0.67053,  0.5105,  0.67053
3, 41341, -3.03233,  10.56839, -36.25559,  0.0056,  0.67871, -0.73438,  0.00,  1.00, -0.00377,  0.00414, -1.00,  1.00,  1.00,  1.00,  1.00,  0.70654,  0.00384,  0.518,  0.66891,  0.518,  0.66891,  0.518,  0.66891
4, 41343, -4.55286,  10.84728, -35.98653, -1.19209E-07,  0.7876, -0.6167,  0.00,  1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.10968,  0.15735,  0.5105,  0.67053,  0.5105,  0.67053,  0.5105,  0.67053
5, 41344, -3.02811,  10.84728, -35.98653,  0.00287,  0.78223, -0.62305,  0.00,  1.00, -0.00225,  0.00179, -1.00,  1.00,  1.00,  1.00,  1.00,  0.70654,  0.15735,  0.518,  0.67053,  0.518,  0.67053,  0.518,  0.67053
6, 41345, -1.55982,  10.54644, -36.2307,  0.01128,  0.6626, -0.74854,  0.00,  1.00, -0.00745,  0.00847, -1.00,  1.00,  1.00,  1.00,  1.00,  1.28125,  0.00384,  0.52522,  0.66891,  0.52522,  0.66891,  0.52522,  0.66891
7, 41341, -3.03233,  10.56839, -36.25559,  0.0056,  0.67871, -0.73438,  0.00,  1.00, -0.00377,  0.00414, -1.00,  1.00,  1.00,  1.00,  1.00,  0.70654,  0.00384,  0.518,  0.66891,  0.518,  0.66891,  0.518,  0.66891
8, 41344, -3.02811,  10.84728, -35.98653,  0.00287,  0.78223, -0.62305,  0.00,  1.00, -0.00225,  0.00179, -1.00,  1.00,  1.00,  1.00,  1.00,  0.70654,  0.15735,  0.518,  0.67053,  0.518,  0.67053,  0.518,  0.67053
9, 41345, -1.55982,  10.54644, -36.2307,  0.01128,  0.6626, -0.74854,  0.00,  1.00, -0.00745,  0.00847, -1.00,  1.00,  1.00,  1.00,  1.00,  1.28125,  0.00384,  0.52522,  0.66891,  0.52522,  0.66891,  0.52522,  0.66891
