VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD3.x, TEXCOORD3.y
0, 0, -0.61517,  0.12458,  0.08964,  0.82048,  0.02389,  0.57117, -0.2143, -0.91342,  0.34604, -1.00,  1.00,  1.00,  1.00,  1.00,  0.54473,  0.56601,  0.54473,  0.56601,  0.54473,  0.56601,  0.54473,  0.56601
1, 1, -0.61883,  0.12632,  0.09483,  0.82049,  0.02388,  0.57117, -0.21119, -0.91579,  0.34166, -1.00,  1.00,  1.00,  1.00,  1.00,  0.54506,  0.56859,  0.54506,  0.56859,  0.54506,  0.56859,  0.54506,  0.56859
2, 2, -0.6209,  0.11126,  0.09843,  0.82049,  0.02388,  0.57117, -0.13309, -0.96369,  0.23148, -1.00,  1.00,  1.00,  1.00,  1.00,  0.55221,  0.5681,  0.55221,  0.5681,  0.55221,  0.5681,  0.55221,  0.5681
3, 0, -0.61517,  0.12458,  0.08964,  0.82048,  0.02389,  0.57117, -0.2143, -0.91342,  0.34604, -1.00,  1.00,  1.00,  1.00,  1.00,  0.54473,  0.56601,  0.54473,  0.56601,  0.54473,  0.56601,  0.54473,  0.56601
4, 2, -0.6209,  0.11126,  0.09843,  0.82049,  0.02388,  0.57117, -0.13309, -0.96369,  0.23148, -1.00,  1.00,  1.00,  1.00,  1.00,  0.55221,  0.5681,  0.55221,  0.5681,  0.55221,  0.5681,  0.55221,  0.5681
5, 3, -0.61723,  0.10952,  0.09325,  0.82048,  0.02388,  0.57118, -0.13399, -0.96327,  0.23273, -1.00,  1.00,  1.00,  1.00,  1.00,  0.5522,  0.5655,  0.5522,  0.5655,  0.5522,  0.5655,  0.5522,  0.5655
6, 4, -0.61334,  0.13773,  0.08647,  0.82049,  0.02388,  0.57116, -0.29163, -0.84186,  0.45412, -1.00,  1.00,  1.00,  1.00,  1.00,  0.53822,  0.56723,  0.53822,  0.56723,  0.53822,  0.56723,  0.53822,  0.56723
7, 1, -0.61883,  0.12632,  0.09483,  0.82049,  0.02388,  0.57117, -0.21119, -0.91579,  0.34166, -1.00,  1.00,  1.00,  1.00,  1.00,  0.54506,  0.56859,  0.54506,  0.56859,  0.54506,  0.56859,  0.54506,  0.56859
8, 0, -0.61517,  0.12458,  0.08964,  0.82048,  0.02389,  0.57117, -0.2143, -0.91342,  0.34604, -1.00,  1.00,  1.00,  1.00,  1.00,  0.54473,  0.56601,  0.54473,  0.56601,  0.54473,  0.56601,  0.54473,  0.56601
9, 4, -0.61334,  0.13773,  0.08647,  0.82049,  0.02388,  0.57116, -0.29163, -0.84186,  0.45412, -1.00,  1.00,  1.00,  1.00,  1.00,  0.53822,  0.56723,  0.53822,  0.56723,  0.53822,  0.56723,  0.53822,  0.56723
