VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD3.x, TEXCOORD3.y
0, 0,  0.01758, -0.04613,  0.01656,  0.00,  0.49432,  0.86928, -1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.15397,  0.55153,  0.65106,  0.53635,  0.16156,  0.05341,  0.64675,  0.07187
1, 2,  0.01758, -0.02451,  0.00427,  0.00,  0.33792,  0.94118, -1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.15397,  0.65388,  0.65106,  0.63071,  0.16156,  0.15154,  0.64675,  0.16225
2, 3, -0.01729, -0.02451,  0.00427,  0.00,  0.33792,  0.94118, -1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.32295,  0.65388,  0.8357,  0.63071,  0.32323,  0.15154,  0.81574,  0.16225
3, 0,  0.01758, -0.04613,  0.01656,  0.00,  0.49432,  0.86928, -1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.15397,  0.55153,  0.65106,  0.53635,  0.16156,  0.05341,  0.64675,  0.07187
4, 3, -0.01729, -0.02451,  0.00427,  0.00,  0.33792,  0.94118, -1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.32295,  0.65388,  0.8357,  0.63071,  0.32323,  0.15154,  0.81574,  0.16225
5, 1, -0.01729, -0.04613,  0.01656,  0.00,  0.49432,  0.86928, -1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.32295,  0.55153,  0.8357,  0.53635,  0.32323,  0.05341,  0.81574,  0.07187
6, 2,  0.01758, -0.02451,  0.00427,  0.00,  0.33792,  0.94118, -1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.15397,  0.65388,  0.65106,  0.63071,  0.16156,  0.15154,  0.64675,  0.16225
7, 5, -0.01729,  6.51237E-12, -2.84665E-19,  0.00,  0.00,  1.00, -1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.32295,  0.75623,  0.8357,  0.72507,  0.32323,  0.24967,  0.81574,  0.25262
8, 3, -0.01729, -0.02451,  0.00427,  0.00,  0.33792,  0.94118, -1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.32295,  0.65388,  0.8357,  0.63071,  0.32323,  0.15154,  0.81574,  0.16225
9, 2,  0.01758, -0.02451,  0.00427,  0.00,  0.33792,  0.94118, -1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.15397,  0.65388,  0.65106,  0.63071,  0.16156,  0.15154,  0.64675,  0.16225
10, 4,  0.01758,  6.51237E-12, -2.84665E-19,  0.00,  0.00,  1.00, -1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.15397,  0.75623,  0.65106,  0.72507,  0.16156,  0.24967,  0.64675,  0.25262
11, 5, -0.01729,  6.51237E-12, -2.84665E-19,  0.00,  0.00,  1.00, -1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.32295,  0.75623,  0.8357,  0.72507,  0.32323,  0.24967,  0.81574,  0.25262
12, 4,  0.01758,  6.51237E-12, -2.84665E-19,  0.00,  0.00,  1.00, -1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.15397,  0.75623,  0.65106,  0.72507,  0.16156,  0.24967,  0.64675,  0.25262
13, 7, -0.01729,  0.02451,  0.00427,  0.00, -0.33792,  0.94118, -1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.32295,  0.85858,  0.8357,  0.81942,  0.32323,  0.3478,  0.81574,  0.343
14, 5, -0.01729,  6.51237E-12, -2.84665E-19,  0.00,  0.00,  1.00, -1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.32295,  0.75623,  0.8357,  0.72507,  0.32323,  0.24967,  0.81574,  0.25262
15, 4,  0.01758,  6.51237E-12, -2.84665E-19,  0.00,  0.00,  1.00, -1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.15397,  0.75623,  0.65106,  0.72507,  0.16156,  0.24967,  0.64675,  0.25262
16, 6,  0.01758,  0.02451,  0.00427,  0.00, -0.33792,  0.94118, -1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.15397,  0.85858,  0.65106,  0.81942,  0.16156,  0.3478,  0.64675,  0.343
17, 7, -0.01729,  0.02451,  0.00427,  0.00, -0.33792,  0.94118, -1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.32295,  0.85858,  0.8357,  0.81942,  0.32323,  0.3478,  0.81574,  0.343
18, 6,  0.01758,  0.02451,  0.00427,  0.00, -0.33792,  0.94118, -1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.15397,  0.85858,  0.65106,  0.81942,  0.16156,  0.3478,  0.64675,  0.343
19, 9, -0.01729,  0.04613,  0.01656,  0.00, -0.49432,  0.86928, -1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.32295,  0.96093,  0.8357,  0.91378,  0.32323,  0.44593,  0.81574,  0.43337
20, 7, -0.01729,  0.02451,  0.00427,  0.00, -0.33792,  0.94118, -1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.32295,  0.85858,  0.8357,  0.81942,  0.32323,  0.3478,  0.81574,  0.343
21, 6,  0.01758,  0.02451,  0.00427,  0.00, -0.33792,  0.94118, -1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.15397,  0.85858,  0.65106,  0.81942,  0.16156,  0.3478,  0.64675,  0.343
22, 8,  0.01758,  0.04613,  0.01656,  0.00, -0.49432,  0.86928, -1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.15397,  0.96093,  0.65106,  0.91378,  0.16156,  0.44593,  0.64675,  0.43337
23, 9, -0.01729,  0.04613,  0.01656,  0.00, -0.49432,  0.86928, -1.00,  0.00,  0.00, -1.00,  1.00,  1.00,  1.00,  1.00,  0.32295,  0.96093,  0.8357,  0.91378,  0.32323,  0.44593,  0.81574,  0.43337
