VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD3.x, TEXCOORD3.y, TEXCOORD3.z
0, 0, -0.41364,  0.34997,  0.26208, -0.35942,  0.89054, -0.27886, -0.23495, -0.37556, -0.89653,  1.00,  1.00,  0.00,  0.00,  2.00,  0.5901,  1.0084,  0.86515,  0.77521,  0.86515,  0.77521, -0.41364,  0.34997,  0.26208
1, 1, -0.40284,  0.28947,  0.1357, -0.08906,  0.84565, -0.52625, -0.22289, -0.53187, -0.81697,  1.00,  0.96471,  0.00,  0.00,  2.00,  1.00,  0.8762,  0.89435,  0.7658,  0.89435,  0.7658, -0.40284,  0.28947,  0.1357
2, 2, -0.44394,  0.27769,  0.15105, -0.39238,  0.81611, -0.42427, -0.22289, -0.53187, -0.81697,  1.00,  0.95294,  0.00,  0.00,  2.00,  1.00,  1.0084,  0.89435,  0.77521,  0.89435,  0.77521, -0.44394,  0.27769,  0.15105
3, 1, -0.40284,  0.28947,  0.1357, -0.08906,  0.84565, -0.52625, -0.22289, -0.53187, -0.81697,  1.00,  0.96471,  0.00,  0.00,  2.00,  1.00,  0.8762,  0.89435,  0.7658,  0.89435,  0.7658, -0.40284,  0.28947,  0.1357
4, 0, -0.41364,  0.34997,  0.26208, -0.35942,  0.89054, -0.27886, -0.23495, -0.37556, -0.89653,  1.00,  1.00,  0.00,  0.00,  2.00,  0.5901,  1.0084,  0.86515,  0.77521,  0.86515,  0.77521, -0.41364,  0.34997,  0.26208
5, 3, -0.37254,  0.36175,  0.24673, -0.04336,  0.93392, -0.35484, -0.23607, -0.35469, -0.90469,  1.00,  1.00,  0.00,  0.00,  2.00,  0.5901,  0.8762,  0.86515,  0.7658,  0.86515,  0.7658, -0.37254,  0.36175,  0.24673
6, 4, -0.33993,  0.38399,  0.37678,  0.2148,  0.95232, -0.21668, -0.23998, -0.16359, -0.95689,  1.00,  1.00,  0.00,  0.00,  2.00,  0.1802,  0.8762,  0.83595,  0.7658,  0.83595,  0.7658, -0.33993,  0.38399,  0.37678
7, 3, -0.37254,  0.36175,  0.24673, -0.04336,  0.93392, -0.35484, -0.23607, -0.35469, -0.90469,  1.00,  1.00,  0.00,  0.00,  2.00,  0.5901,  0.8762,  0.86515,  0.7658,  0.86515,  0.7658, -0.37254,  0.36175,  0.24673
8, 0, -0.41364,  0.34997,  0.26208, -0.35942,  0.89054, -0.27886, -0.23495, -0.37556, -0.89653,  1.00,  1.00,  0.00,  0.00,  2.00,  0.5901,  1.0084,  0.86515,  0.77521,  0.86515,  0.77521, -0.41364,  0.34997,  0.26208
9, 5, -0.33017,  0.34614,  0.2418,  0.2724,  0.86952, -0.41199, -0.23607, -0.3547, -0.90469,  1.00,  1.00,  0.00,  0.00,  2.00,  0.5901,  0.7439,  0.86515,  0.75637,  0.86515,  0.75637, -0.33017,  0.34614,  0.2418
10, 1, -0.40284,  0.28947,  0.1357, -0.08906,  0.84565, -0.52625, -0.22289, -0.53187, -0.81697,  1.00,  0.96471,  0.00,  0.00,  2.00,  1.00,  0.8762,  0.89435,  0.7658,  0.89435,  0.7658, -0.40284,  0.28947,  0.1357
