VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD3.x, TEXCOORD3.y
0, 0, -0.40187,  0.41133,  0.16432,  0.13837, -0.09542,  0.98577,  0.91324,  0.39742, -0.08972, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375
1, 1, -0.11247, -0.27827,  0.05865,  0.13833, -0.09544,  0.98578,  0.91324,  0.39743, -0.08968, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.505,  0.90016,  0.505,  0.90016,  0.505,  0.90016,  0.505
2, 2,  0.31772, -0.08387, -0.0291,  0.21896, -0.06217,  0.97375,  0.89747,  0.40445, -0.17598, -1.00,  1.00,  1.00,  1.00,  1.00,  0.9855,  0.505,  0.9855,  0.505,  0.9855,  0.505,  0.9855,  0.505
3, 0, -0.40187,  0.41133,  0.16432,  0.13837, -0.09542,  0.98577,  0.91324,  0.39742, -0.08972, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375
4, 2,  0.31772, -0.08387, -0.0291,  0.21896, -0.06217,  0.97375,  0.89747,  0.40445, -0.17598, -1.00,  1.00,  1.00,  1.00,  1.00,  0.9855,  0.505,  0.9855,  0.505,  0.9855,  0.505,  0.9855,  0.505
5, 3,  0.0291,  0.60501,  0.08321,  0.21896, -0.06217,  0.97375,  0.89747,  0.40445, -0.17598, -1.00,  1.00,  1.00,  1.00,  1.00,  0.9855,  0.3375,  0.9855,  0.3375,  0.9855,  0.3375,  0.9855,  0.3375
6, 0, -0.40187,  0.41133,  0.16432,  0.13837, -0.09542,  0.98577,  0.91324,  0.39742, -0.08972, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375
7, 4, -0.50588, -0.44355,  0.05981,  0.05668, -0.12795,  0.99016,  0.92194,  0.38732, -0.00273, -1.00,  1.00,  1.00,  1.00,  1.00,  0.8239,  0.505,  0.8239,  0.505,  0.8239,  0.505,  0.8239,  0.505
8, 1, -0.11247, -0.27827,  0.05865,  0.13833, -0.09544,  0.98578,  0.91324,  0.39743, -0.08968, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.505,  0.90016,  0.505,  0.90016,  0.505,  0.90016,  0.505
9, 0, -0.40187,  0.41133,  0.16432,  0.13837, -0.09542,  0.98577,  0.91324,  0.39742, -0.08972, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375
10, 5, -0.79527,  0.24605,  0.16548,  0.05668, -0.12795,  0.99016,  0.92194,  0.38732, -0.00273, -1.00,  1.00,  1.00,  1.00,  1.00,  0.8239,  0.3375,  0.8239,  0.3375,  0.8239,  0.3375,  0.8239,  0.3375
11, 4, -0.50588, -0.44355,  0.05981,  0.05668, -0.12795,  0.99016,  0.92194,  0.38732, -0.00273, -1.00,  1.00,  1.00,  1.00,  1.00,  0.8239,  0.505,  0.8239,  0.505,  0.8239,  0.505,  0.8239,  0.505
12, 6, -0.29052,  0.65064,  0.27277,  0.09731,  0.08348,  0.99175, -0.97572,  0.20444,  0.07853, -1.00,  1.00,  1.00,  1.00,  1.00,  0.5908,  0.9868,  0.5908,  0.9868,  0.5908,  0.9868,  0.5908,  0.9868
13, 7,  0.04589,  0.14809,  0.28207,  0.17152, -0.03023,  0.98472, -0.96411,  0.20045,  0.17409, -1.00,  1.00,  1.00,  1.00,  1.00,  0.4959,  0.8919,  0.4959,  0.8919,  0.4959,  0.8919,  0.4959,  0.8919
14, 8,  0.52566,  0.48097,  0.12524,  0.28187,  0.04527,  0.95838, -0.94348,  0.19456,  0.2683, -1.00,  1.00,  1.00,  1.00,  1.00,  0.4009,  0.9868,  0.4009,  0.9868,  0.4009,  0.9868,  0.4009,  0.9868
15, 8,  0.52566,  0.48097,  0.12524,  0.28187,  0.04527,  0.95838, -0.94348,  0.19456,  0.2683, -1.00,  1.00,  1.00,  1.00,  1.00,  0.4009,  0.9868,  0.4009,  0.9868,  0.4009,  0.9868,  0.4009,  0.9868
16, 7,  0.04589,  0.14809,  0.28207,  0.17152, -0.03023,  0.98472, -0.96411,  0.20045,  0.17409, -1.00,  1.00,  1.00,  1.00,  1.00,  0.4959,  0.8919,  0.4959,  0.8919,  0.4959,  0.8919,  0.4959,  0.8919
17, 9,  0.35584, -0.34651,  0.12994,  0.24351, -0.14247,  0.95938, -0.9435,  0.19441,  0.26835, -1.00,  1.00,  1.00,  1.00,  1.00,  0.4009,  0.7969,  0.4009,  0.7969,  0.4009,  0.7969,  0.4009,  0.7969
18, 9,  0.35584, -0.34651,  0.12994,  0.24351, -0.14247,  0.95938, -0.9435,  0.19441,  0.26835, -1.00,  1.00,  1.00,  1.00,  1.00,  0.4009,  0.7969,  0.4009,  0.7969,  0.4009,  0.7969,  0.4009,  0.7969
19, 7,  0.04589,  0.14809,  0.28207,  0.17152, -0.03023,  0.98472, -0.96411,  0.20045,  0.17409, -1.00,  1.00,  1.00,  1.00,  1.00,  0.4959,  0.8919,  0.4959,  0.8919,  0.4959,  0.8919,  0.4959,  0.8919
20, 10, -0.46039, -0.17679,  0.27748,  0.05796, -0.10434,  0.99285, -0.97569,  0.20464,  0.07847, -1.00,  1.00,  1.00,  1.00,  1.00,  0.5908,  0.7969,  0.5908,  0.7969,  0.5908,  0.7969,  0.5908,  0.7969
21, 10, -0.46039, -0.17679,  0.27748,  0.05796, -0.10434,  0.99285, -0.97569,  0.20464,  0.07847, -1.00,  1.00,  1.00,  1.00,  1.00,  0.5908,  0.7969,  0.5908,  0.7969,  0.5908,  0.7969,  0.5908,  0.7969
22, 7,  0.04589,  0.14809,  0.28207,  0.17152, -0.03023,  0.98472, -0.96411,  0.20045,  0.17409, -1.00,  1.00,  1.00,  1.00,  1.00,  0.4959,  0.8919,  0.4959,  0.8919,  0.4959,  0.8919,  0.4959,  0.8919
23, 6, -0.29052,  0.65064,  0.27277,  0.09731,  0.08348,  0.99175, -0.97572,  0.20444,  0.07853, -1.00,  1.00,  1.00,  1.00,  1.00,  0.5908,  0.9868,  0.5908,  0.9868,  0.5908,  0.9868,  0.5908,  0.9868
24, 11, -0.56489, -0.16423,  0.08774, -0.14763, -0.06502,  0.9869, -0.33093,  0.94357,  0.01266, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375
25, 12,  0.13891,  0.08064,  0.21085, -0.14761, -0.06506,  0.9869, -0.33094,  0.94357,  0.01271, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.505,  0.90016,  0.505,  0.90016,  0.505,  0.90016,  0.505
26, 13, -0.01264,  0.5346,  0.17196, -0.17405,  0.01889,  0.98456, -0.31686,  0.94557, -0.07415, -1.00,  1.00,  1.00,  1.00,  1.00,  0.9855,  0.505,  0.9855,  0.505,  0.9855,  0.505,  0.9855,  0.505
27, 11, -0.56489, -0.16423,  0.08774, -0.14763, -0.06502,  0.9869, -0.33093,  0.94357,  0.01266, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375
28, 13, -0.01264,  0.5346,  0.17196, -0.17405,  0.01889,  0.98456, -0.31686,  0.94557, -0.07415, -1.00,  1.00,  1.00,  1.00,  1.00,  0.9855,  0.505,  0.9855,  0.505,  0.9855,  0.505,  0.9855,  0.505
29, 14, -0.71737,  0.28912,  0.05547, -0.17405,  0.01889,  0.98456, -0.31686,  0.94557, -0.07415, -1.00,  1.00,  1.00,  1.00,  1.00,  0.9855,  0.3375,  0.9855,  0.3375,  0.9855,  0.3375,  0.9855,  0.3375
30, 11, -0.56489, -0.16423,  0.08774, -0.14763, -0.06502,  0.9869, -0.33093,  0.94357,  0.01266, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375
31, 15,  0.28504, -0.31802,  0.16842, -0.12005, -0.14846,  0.9816, -0.34245,  0.93426,  0.09942, -1.00,  1.00,  1.00,  1.00,  1.00,  0.8239,  0.505,  0.8239,  0.505,  0.8239,  0.505,  0.8239,  0.505
32, 12,  0.13891,  0.08064,  0.21085, -0.14761, -0.06506,  0.9869, -0.33094,  0.94357,  0.01271, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.505,  0.90016,  0.505,  0.90016,  0.505,  0.90016,  0.505
33, 11, -0.56489, -0.16423,  0.08774, -0.14763, -0.06502,  0.9869, -0.33093,  0.94357,  0.01266, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375
34, 16, -0.41877, -0.56289,  0.04531, -0.12005, -0.14846,  0.9816, -0.34245,  0.93426,  0.09942, -1.00,  1.00,  1.00,  1.00,  1.00,  0.8239,  0.3375,  0.8239,  0.3375,  0.8239,  0.3375,  0.8239,  0.3375
35, 15,  0.28504, -0.31802,  0.16842, -0.12005, -0.14846,  0.9816, -0.34245,  0.93426,  0.09942, -1.00,  1.00,  1.00,  1.00,  1.00,  0.8239,  0.505,  0.8239,  0.505,  0.8239,  0.505,  0.8239,  0.505
36, 17, -0.18192,  0.0382,  0.06928,  0.13837, -0.09542,  0.98577,  0.91324,  0.39742, -0.08972, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375
37, 18,  0.10748, -0.6514, -0.03639,  0.13833, -0.09544,  0.98578,  0.91324,  0.39743, -0.08968, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.505,  0.90016,  0.505,  0.90016,  0.505,  0.90016,  0.505
38, 19,  0.53767, -0.45699, -0.12414,  0.21896, -0.06217,  0.97375,  0.89747,  0.40445, -0.17598, -1.00,  1.00,  1.00,  1.00,  1.00,  0.9855,  0.505,  0.9855,  0.505,  0.9855,  0.505,  0.9855,  0.505
39, 17, -0.18192,  0.0382,  0.06928,  0.13837, -0.09542,  0.98577,  0.91324,  0.39742, -0.08972, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375
40, 19,  0.53767, -0.45699, -0.12414,  0.21896, -0.06217,  0.97375,  0.89747,  0.40445, -0.17598, -1.00,  1.00,  1.00,  1.00,  1.00,  0.9855,  0.505,  0.9855,  0.505,  0.9855,  0.505,  0.9855,  0.505
41, 20,  0.24905,  0.23188, -0.01183,  0.21896, -0.06217,  0.97375,  0.89747,  0.40445, -0.17598, -1.00,  1.00,  1.00,  1.00,  1.00,  0.9855,  0.3375,  0.9855,  0.3375,  0.9855,  0.3375,  0.9855,  0.3375
42, 17, -0.18192,  0.0382,  0.06928,  0.13837, -0.09542,  0.98577,  0.91324,  0.39742, -0.08972, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375
43, 21, -0.28593, -0.81667, -0.03523,  0.05668, -0.12795,  0.99016,  0.92194,  0.38732, -0.00273, -1.00,  1.00,  1.00,  1.00,  1.00,  0.8239,  0.505,  0.8239,  0.505,  0.8239,  0.505,  0.8239,  0.505
44, 18,  0.10748, -0.6514, -0.03639,  0.13833, -0.09544,  0.98578,  0.91324,  0.39743, -0.08968, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.505,  0.90016,  0.505,  0.90016,  0.505,  0.90016,  0.505
45, 17, -0.18192,  0.0382,  0.06928,  0.13837, -0.09542,  0.98577,  0.91324,  0.39742, -0.08972, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375
46, 22, -0.57532, -0.12707,  0.07044,  0.05668, -0.12795,  0.99016,  0.92194,  0.38732, -0.00273, -1.00,  1.00,  1.00,  1.00,  1.00,  0.8239,  0.3375,  0.8239,  0.3375,  0.8239,  0.3375,  0.8239,  0.3375
47, 21, -0.28593, -0.81667, -0.03523,  0.05668, -0.12795,  0.99016,  0.92194,  0.38732, -0.00273, -1.00,  1.00,  1.00,  1.00,  1.00,  0.8239,  0.505,  0.8239,  0.505,  0.8239,  0.505,  0.8239,  0.505
48, 23,  0.47367, -0.40296,  0.00423,  0.25019,  0.16386,  0.95423, -0.77859, -0.55179,  0.29888, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375
49, 24,  0.03964,  0.2151,  0.01365,  0.25022,  0.16388,  0.95422, -0.77857, -0.55179,  0.29893, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.505,  0.90016,  0.505,  0.90016,  0.505,  0.90016,  0.505
50, 25, -0.34386, -0.0562,  0.11308,  0.1795,  0.11656,  0.97683, -0.79745, -0.56421,  0.21386, -1.00,  1.00,  1.00,  1.00,  1.00,  0.9855,  0.505,  0.9855,  0.505,  0.9855,  0.505,  0.9855,  0.505
51, 23,  0.47367, -0.40296,  0.00423,  0.25019,  0.16386,  0.95423, -0.77859, -0.55179,  0.29888, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375
52, 25, -0.34386, -0.0562,  0.11308,  0.1795,  0.11656,  0.97683, -0.79745, -0.56421,  0.21386, -1.00,  1.00,  1.00,  1.00,  1.00,  0.9855,  0.505,  0.9855,  0.505,  0.9855,  0.505,  0.9855,  0.505
53, 26,  0.09198, -0.67305,  0.11001,  0.1795,  0.11656,  0.97683, -0.79745, -0.56421,  0.21386, -1.00,  1.00,  1.00,  1.00,  1.00,  0.9855,  0.3375,  0.9855,  0.3375,  0.9855,  0.3375,  0.9855,  0.3375
54, 23,  0.47367, -0.40296,  0.00423,  0.25019,  0.16386,  0.95423, -0.77859, -0.55179,  0.29888, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375
55, 27,  0.36125,  0.44343, -0.1492,  0.31897,  0.2099,  0.92423, -0.75369, -0.53508,  0.38163, -1.00,  1.00,  1.00,  1.00,  1.00,  0.8239,  0.505,  0.8239,  0.505,  0.8239,  0.505,  0.8239,  0.505
56, 24,  0.03964,  0.2151,  0.01365,  0.25022,  0.16388,  0.95422, -0.77857, -0.55179,  0.29893, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.505,  0.90016,  0.505,  0.90016,  0.505,  0.90016,  0.505
57, 23,  0.47367, -0.40296,  0.00423,  0.25019,  0.16386,  0.95423, -0.77859, -0.55179,  0.29888, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375
58, 28,  0.79527, -0.17463, -0.15862,  0.31897,  0.2099,  0.92423, -0.75369, -0.53508,  0.38163, -1.00,  1.00,  1.00,  1.00,  1.00,  0.8239,  0.3375,  0.8239,  0.3375,  0.8239,  0.3375,  0.8239,  0.3375
59, 27,  0.36125,  0.44343, -0.1492,  0.31897,  0.2099,  0.92423, -0.75369, -0.53508,  0.38163, -1.00,  1.00,  1.00,  1.00,  1.00,  0.8239,  0.505,  0.8239,  0.505,  0.8239,  0.505,  0.8239,  0.505
60, 29, -0.20202, -0.07066,  0.16087, -0.04969,  0.16057,  0.98577, -0.96338,  0.25269, -0.08972, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375
61, 30, -0.0028,  0.65017,  0.0552, -0.04965,  0.16056,  0.98578, -0.96338,  0.25269, -0.08968, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.505,  0.90016,  0.505,  0.90016,  0.505,  0.90016,  0.505
62, 31, -0.46107,  0.76356, -0.03255, -0.13357,  0.1843,  0.97375, -0.95534,  0.23741, -0.17598, -1.00,  1.00,  1.00,  1.00,  1.00,  0.9855,  0.505,  0.9855,  0.505,  0.9855,  0.505,  0.9855,  0.505
63, 29, -0.20202, -0.07066,  0.16087, -0.04969,  0.16057,  0.98577, -0.96338,  0.25269, -0.08972, -1.00,  1.00,  1.00,  1.00,  1.00,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375,  0.90016,  0.3375
64, 31, -0.46107,  0.76356, -0.03255, -0.13357,  0.1843,  0.97375, -0.95534,  0.23741, -0.17598, -1.00,  1.00,  1.00,  1.00,  1.00,  0.9855,  0.505,  0.9855,  0.505,  0.9855,  0.505,  0.9855,  0.505
65, 32, -0.66044,  0.04376,  0.07976, -0.13357,  0.1843,  0.97375, -0.95534,  0.23741, -0.17598, -1.00,  1.00,  1.00,  1.00,  1.00,  0.9855,  0.3375,  0.9855,  0.3375,  0.9855,  0.3375,  0.9855,  0.3375
